guid,Country,"Country info",Capital,"Capital info","Capital hint",Flag,"Flag similarity",Map,tags			
SdUr}o7uCD,AfghĂˇnistĂˇn,,KĂˇbul,,,"<img src=""ug-flag-afghanistan.png"" />",,"<img src=""ug-map-afghanistan.png"" />","UG::Asia UG::Sovereign_State"			
Kqu<?fnYdj,Anglie,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",LondĂ˝n,,"<div>NejednĂˇ se o suverĂ©nnĂ­ stĂˇt.</div><div></div>","<img src=""ug-flag-england.svg"" />",,"<img src=""ug-map-england.png"" />",UG::Europe			
NKd8wkwSc},Skotsko,"<div>KonstituÄŤnĂ­ zemÄ› VelkĂ© BritĂˇnie.</div><div></div>",Edinburgh,,,"<img src=""ug-flag-scotland.svg"" />",,"<img src=""ug-map-scotland.png"" />",UG::Europe			
Yhs*Ijz8VC,"SpojenĂ© krĂˇlovstvĂ­","ZnĂˇmĂ© tĂ©Ĺľ jako VelkĂˇ BritĂˇnie.",LondĂ˝n,,"<div>SuverĂ©nnĂ­ stĂˇt.</div>","<img src=""ug-flag-united_kingdom.svg"" />",,"<img src=""ug-map-united_kingdom.png"" />","UG::Europe UG::European_Union UG::Sovereign_State"			
T3@d6HE@J+,LibĂ©rie,,Monrovia,,,"<img src=""ug-flag-liberia.svg"" />",,"<img src=""ug-map-liberia.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
SHYZn9}e#H,Madagascar,,Antananarivo,,,"<img src=""ug-flag-madagascar.svg"" />",,"<img src=""ug-map-madagascar.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
Y@_u<>.6Z6,Malawi,,Lilongwe,,,"<img src=""ug-flag-malawi.svg"" />",,"<img src=""ug-map-malawi.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
Js1cGE#.U^,Mali,,Bamako,,,"<img src=""ug-flag-mali.svg"" />","<div>Guinea (prohozenĂˇ zelenĂˇ a ÄŤervenĂˇ, mĂ­rnÄ› tmavĹˇĂ­ zelenĂˇ)</div><div></div>","<img src=""ug-map-mali.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
P.<r63{-/!,MauritĂˇnie,,NuakĹˇott,,,"<img src=""ug-flag-mauritania.svg"" />",,"<img src=""ug-map-mauritania.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
YV<:$uWhEF,Mauricius,,"Port Louis (Mauricius)",,,"<img src=""ug-flag-mauritius.svg"" />",,"<img src=""ug-map-mauritius.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
STqVc]->U-,Maroko,,Rabat,,,"<img src=""ug-flag-morocco.svg"" />",,"<img src=""ug-map-morocco.png"" />","UG::Africa UG::Mediterranean UG::Sovereign_State"			
1ROU8?ydbA,Mosambik,,Maputo,,,"<img src=""ug-flag-mozambique.svg"" />",,"<img src=""ug-map-mozambique.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
SVRNR~AJy$,Namibie,,Windhoek,,,"<img src=""ug-flag-namibia.svg"" />",,"<img src=""ug-map-namibia.png"" />","UG::Africa UG::Sovereign_State"			
PN5id)5r$q,Niger,,Niamey,,,"<img src=""ug-flag-niger.svg"" />",,"<img src=""ug-map-niger.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
Y$f2W.1<:k,NigĂ©rie,,Abuja,,,"<img src=""ug-flag-nigeria.svg"" />",,"<img src=""ug-map-nigeria.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
0I,Jl9UIF(,"KonĹľskĂˇ republika",,Brazzaville,,,"<img src=""ug-flag-republic_of_the_congo.svg"" />",,"<img src=""ug-map-republic_of_the_congo.png"" />","UG::Africa UG::Sovereign_State"			
PoTom6n(H+,Rwanda,,Kigali,,,"<img src=""ug-flag-rwanda.svg"" />",,"<img src=""ug-map-rwanda.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
Zs}zCxK2<O,Senegal,,Dakar,,,"<img src=""ug-flag-senegal.svg"" />","<div>Kamerun (zelenĂˇ/ÄŤervenĂˇ/ĹľlutĂˇ), ĹľlutĂˇ hvÄ›zda)</div><div></div>","<img src=""ug-map-senegal.png"" />","UG::Africa UG::Sovereign_State UG::West_Africa"			
N2,FrN]wC[,Seychely,,"Victoria (Seychely)",,,"<img src=""ug-flag-seychelles.svg"" />",,"<img src=""ug-map-seychelles.png"" />","UG::Africa UG::East_Africa UG::Sovereign_State"			
